description,industry,level,size,line_code,value,Unit,Footnotes
Quality management systems certifications no,Other services,1,total,C400002,1161,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,total,0,total,C400002,37788,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,total,0,619 employees,C410001,22254,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems yes,total,0,2049 employees,C410001,6840,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems yes,total,0,5099 employees,C410001,2175,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems yes,total,0,100 employees,C410001,1905,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems yes,Agriculture forestry  fishing,1,total,C410001,2301,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Agriculture,2,total,C410001,1494,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Commercial fishing,2,total,C410001,42,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Forestry  logging,2,total,C410001,216,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Agriculture forestry  fishing support services,2,total,C410001,552,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Mining,1,total,C410001,99,Number of businesses,1 and 2 and 3 and 5 and 6
Business documents its operating processes  systems yes,Manufacturing,1,total,C410001,3966,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Food beverage  tobacco,2,total,C410001,981,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Textile clothing footwear  leather,2,total,C410001,174,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Wood  paper product,2,total,C410001,399,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Printing publishing  recorded media,2,total,C410001,117,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Petroleum coal chemical  associated product,2,total,C410001,378,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Nonmetallic mineral product,2,total,C410001,156,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Metal product,2,total,C410001,684,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Transport and industrial machinery  equipment,2,total,C410001,597,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Other machinery  equipment,2,total,C410001,198,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Other manufacturing,2,total,C410001,276,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Electricity gas water  waste services,1,total,C410001,174,Number of businesses,1 and 2 and 3 and 5 and 6
Business documents its operating processes  systems yes,Construction,1,total,C410001,4092,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Wholesale trade,1,total,C410001,2376,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Machinery  equipment wholesaling,2,total,C410001,726,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Other wholesale trade,2,total,C410001,1647,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Retail trade,1,total,C410001,3852,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Accommodation  food services,1,total,C410001,3750,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Transport postal  warehousing,1,total,C410001,1185,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Information media  telecommunications,1,total,C410001,363,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Publishing,2,total,C410001,135,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Motion picture,2,total,C410001,120,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Telecommunications,2,total,C410001,105,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Financial  insurance services,1,total,C410001,603,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Finance,2,total,C410001,183,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Insurance,2,total,C410001,33,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Auxiliary,2,total,C410001,390,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Rental hiring  real estate services,1,total,C410001,699,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Professional scientific  technical services,1,total,C410001,3975,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Computer systems design,2,total,C410001,843,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Other professional scientific,2,total,C410001,3135,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Administrative  support services,1,total,C410001,1338,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Education  training,1,total,C410001,954,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Health care  social assistance,1,total,C410001,2385,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Arts  recreation services,1,total,C410001,372,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,Other services,1,total,C410001,687,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems yes,total,0,total,C410001,33174,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,total,0,619 employees,C410002,9048,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems no,total,0,2049 employees,C410002,1161,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems no,total,0,5099 employees,C410002,216,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems no,total,0,100 employees,C410002,111,Number of businesses,1 and 2 and 3 and 4 and 6
Business documents its operating processes  systems no,Agriculture forestry  fishing,1,total,C410002,1035,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Agriculture,2,total,C410002,756,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Commercial fishing,2,total,C410002,9,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Forestry  logging,2,total,C410002,18,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Agriculture forestry  fishing support services,2,total,C410002,249,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Mining,1,total,C410002,15,Number of businesses,1 and 2 and 3 and 5 and 6
Business documents its operating processes  systems no,Manufacturing,1,total,C410002,948,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Food beverage  tobacco,2,total,C410002,144,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Textile clothing footwear  leather,2,total,C410002,57,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Wood  paper product,2,total,C410002,78,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Printing publishing  recorded media,2,total,C410002,63,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Petroleum coal chemical  associated product,2,total,C410002,39,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Nonmetallic mineral product,2,total,C410002,27,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Metal product,2,total,C410002,213,Number of businesses,1 and 2 and 3 and 6
Business documents its operating processes  systems no,Transport and industrial machinery  equipment,2,total,C410002,222,Number of businesses,1 and 2 and 3 and 6
